url,label,title,comments,created_time,updated_time,closed_time
https://github.com/OpenMined/PySyft/issues/3885,"['bug ', 'status: stale :bread:']",model.send fails in websocket workers,3,2020-07-21 08:55:29,2020-12-21 00:15:54,2020-12-21 00:15:54
https://github.com/OpenMined/PySyft/issues/3879,"['bug ', 'status: stale :bread:']",'Dense' object has no attribute '_constructor_parameters_store',2,2020-07-19 17:58:58,2020-12-21 00:15:55,2020-12-21 00:15:54
https://github.com/OpenMined/PySyft/issues/3871,"['bug ', 'status: stale :bread:']",socket timeout error in deploy_workers example,1,2020-07-17 21:40:39,2020-08-24 00:10:59,2020-08-24 00:10:59
https://github.com/OpenMined/PySyft/issues/3865,"['bug ', 'priority: 1 - immediate :fire:', 'severity: 1 - critical :fire:']",Serde Can not serialize 'DynamicFLClient' object,5,2020-07-17 14:32:40,2020-08-20 20:14:33,2020-08-20 20:14:33
https://github.com/OpenMined/PySyft/issues/3863,"['bug ', 'status: stale :bread:']",Averaging method utils.federated_avg(models) returns wrong results and further bug,3,2020-07-17 09:58:43,2020-11-29 00:11:35,2020-11-29 00:11:35
https://github.com/OpenMined/PySyft/issues/3854,"['bug ', 'status: stale :bread:']",Error when using embeddings in a sy.Plan ,3,2020-07-13 14:25:55,2020-12-21 00:16:05,2020-12-21 00:16:05
https://github.com/OpenMined/PySyft/issues/3848,"['bug ', 'status: stale :bread:']",Cannot move PointerTensors to GPU,2,2020-07-10 12:42:59,2020-08-20 00:10:33,2020-08-20 00:10:33
https://github.com/OpenMined/PySyft/issues/3845,"['bug ', 'status: stale :bread:']",clone on a remote nn.Module fails,3,2020-07-10 09:12:22,2020-08-20 00:10:35,2020-08-20 00:10:35
https://github.com/OpenMined/PySyft/issues/3844,"['bug ', 'status: stale :bread:']",CUDA out of memory in middle of training due to .move() command,1,2020-07-10 04:40:33,2020-08-17 00:10:47,2020-08-17 00:10:47
https://github.com/OpenMined/PySyft/issues/3834,"['bug ', 'status: stale :bread:']","""clone() got an unexpected keyword argument 'memory_format'"" at model.copy().get() ",1,2020-07-08 12:37:54,2020-08-16 00:10:38,2020-08-16 00:10:38
https://github.com/OpenMined/PySyft/issues/3833,['bug '],TypeError: add_() takes 1 positional argument but 2 were given with Adam optimizer,2,2020-07-08 11:50:22,2020-07-11 01:09:33,2020-07-11 01:09:33
https://github.com/OpenMined/PySyft/issues/3825,"['bug ', 'status: stale :bread:']",[torch] Cannot set values at indices in a tensor,5,2020-07-06 18:54:53,2020-12-21 00:16:12,2020-12-21 00:16:12
https://github.com/OpenMined/PySyft/issues/3820,[],PySyft supports Differential Privacy ?,11,2020-07-05 11:31:30,2021-05-25 09:44:30,2021-02-18 07:36:47
https://github.com/OpenMined/PySyft/issues/3819,"['bug ', 'status: stale :bread:']","Cannot using the command "".share()"" in distributed environment",2,2020-07-05 06:12:24,2020-09-03 05:40:42,2020-08-12 00:10:07
https://github.com/OpenMined/PySyft/issues/3814,['bug '],.serve_model() throws error while serving MPC model on the grid platform,2,2020-07-03 17:43:15,2020-07-03 21:23:22,2020-07-03 21:23:10
https://github.com/OpenMined/PySyft/issues/3806,"['bug ', 'status: stale :bread:']",Type conversion from float to int on remote server is not working,1,2020-07-01 11:22:34,2020-08-08 00:10:08,2020-08-08 00:10:08
